Date,Open,High,Low,Close,Adj Close,Volume
3/11/2010,1.079271,1.097396,1.072083,1.095833,1.093094,13478400
3/12/2010,1.107917,1.107917,1.085729,1.098333,1.095588,9033600
3/15/2010,1.091042,1.098438,1.067708,1.090938,1.088212,10598400
3/16/2010,1.101667,1.114688,1.090208,1.111563,1.108785,11644800
3/17/2010,1.114688,1.135104,1.11,1.119271,1.116474,9955200
3/18/2010,1.123125,1.134167,1.115729,1.130625,1.1278,13046400
3/19/2010,1.110625,1.143021,1.09875,1.110625,1.10785,10012800
3/22/2010,1.097604,1.153958,1.093438,1.140625,1.137774,14697600
3/23/2010,1.148438,1.166979,1.130625,1.164479,1.161569,13833600
3/24/2010,1.15625,1.15875,1.140625,1.147917,1.145048,22310400
3/25/2010,1.175938,1.188229,1.139792,1.140729,1.137878,23481600
3/26/2010,1.156979,1.168646,1.128646,1.146667,1.143801,21072000
3/29/2010,1.163958,1.174271,1.153854,1.162396,1.159491,9513600
3/30/2010,1.171979,1.184688,1.150729,1.174583,1.171648,9974400
3/31/2010,1.161458,1.177083,1.150729,1.15875,1.155854,14889600
4/1/2010,1.171667,1.194063,1.130521,1.156458,1.153568,29155200
4/5/2010,1.164896,1.196875,1.15625,1.189896,1.186922,16896000
4/6/2010,1.180833,1.209792,1.173333,1.198958,1.195962,14678400
4/7/2010,1.194896,1.207917,1.171354,1.192188,1.189209,26563200
4/8/2010,1.180104,1.203438,1.162083,1.196458,1.193468,17414400
4/9/2010,1.200417,1.220938,1.191146,1.218021,1.214977,14524800
4/12/2010,1.222188,1.232292,1.214167,1.222917,1.219861,12201600
4/13/2010,1.218958,1.243333,1.207917,1.241354,1.238252,16809600
4/14/2010,1.259063,1.286146,1.256458,1.285104,1.281893,15273600
4/15/2010,1.28375,1.307083,1.282604,1.302292,1.299038,11443200
4/16/2010,1.288542,1.301146,1.231771,1.255938,1.252799,32371200
4/19/2010,1.244167,1.265417,1.208333,1.253958,1.250824,28185600
4/20/2010,1.273438,1.28125,1.249583,1.2725,1.26932,14025600
4/21/2010,1.298333,1.305938,1.270833,1.294896,1.29166,20995200
4/22/2010,1.257083,1.318438,1.235625,1.314063,1.310779,30710400
4/23/2010,1.315313,1.335625,1.299792,1.331458,1.32813,20592000
4/26/2010,1.332396,1.342396,1.315104,1.321563,1.31826,20131200
4/27/2010,1.30875,1.322708,1.229167,1.24,1.236901,33436800
4/28/2010,1.259063,1.260313,1.212813,1.242917,1.239811,31267200
4/29/2010,1.260208,1.312604,1.260104,1.306354,1.303089,21187200
4/30/2010,1.304375,1.310521,1.226146,1.229375,1.226303,22128000
5/3/2010,1.24375,1.298125,1.243438,1.279583,1.276385,13152000
5/4/2010,1.231146,1.23125,1.138646,1.166458,1.163543,34310400
5/5/2010,1.129896,1.167813,1.108333,1.147292,1.144425,34627200
5/6/2010,1.123646,1.156042,0.708333,1.034896,1.03231,54451200
5/7/2010,1.0075,1.045104,0.892813,0.959583,0.957185,62064000
5/10/2010,1.080729,1.105938,1.074792,1.102708,1.099952,47318400
5/11/2010,1.071563,1.145833,1.065313,1.101979,1.099225,36758400
5/12/2010,1.117083,1.16375,1.112917,1.161354,1.158452,27139200
5/13/2010,1.150208,1.174375,1.101875,1.108854,1.106083,26390400
5/14/2010,1.081667,1.083125,1.005208,1.040625,1.038024,38544000
5/17/2010,1.050729,1.066354,0.9875,1.054688,1.052052,34214400
5/18/2010,1.080417,1.086458,0.995833,1.014375,1.01184,47654400
5/19/2010,0.996875,1.020833,0.952396,0.987604,0.985136,59443200
5/20/2010,0.927813,0.934479,0.869271,0.887708,0.88549,68246400
5/21/2010,0.833646,0.922188,0.824792,0.894583,0.892347,58579200
5/24/2010,0.899479,0.932813,0.891563,0.901979,0.899725,38755200
5/25/2010,0.835,0.898438,0.808333,0.895625,0.893387,43161600
5/26/2010,0.909479,0.946875,0.86125,0.867917,0.865748,52080000
5/27/2010,0.925729,0.964271,0.918229,0.961875,0.959471,43305600
5/28/2010,0.968229,0.970938,0.921875,0.948438,0.946068,41673600
6/1/2010,0.938438,0.986875,0.916667,0.922188,0.919883,50678400
6/2/2010,0.9375,0.987083,0.9175,0.987083,0.984616,28358400
6/3/2010,0.994375,1.018333,0.975625,1.012708,1.010177,28713600
6/4/2010,0.949167,0.986979,0.899375,0.912708,0.910427,61488000
6/7/2010,0.921563,0.931667,0.858333,0.859792,0.857643,42182400
6/8/2010,0.865938,0.871667,0.820938,0.855,0.852863,66480000
6/9/2010,0.872292,0.896771,0.826563,0.836146,0.834056,57360000
6/10/2010,0.865313,0.907292,0.858229,0.905521,0.903258,38880000
6/11/2010,0.877396,0.932813,0.877396,0.929167,0.926845,31334400
6/14/2010,0.956771,0.975104,0.925938,0.929688,0.927365,56851200
6/15/2010,0.945104,1.008438,0.942292,0.997604,0.995111,50025600
6/16/2010,0.996771,1.03125,0.991875,1.017708,1.015164,39590400
6/17/2010,1.033646,1.035208,1.001458,1.027917,1.025348,40761600
6/18/2010,1.033229,1.051458,1.020417,1.030729,1.028153,34896000
6/21/2010,1.068333,1.072917,0.986667,1.003646,1.001138,54979200
6/22/2010,1.015208,1.037292,0.974792,0.979896,0.977447,44899200
6/23/2010,0.983542,0.993646,0.944792,0.966771,0.964355,56179200
6/24/2010,0.955208,0.963542,0.914583,0.919896,0.917597,59856000
6/25/2010,0.931875,0.942292,0.899688,0.919271,0.916974,44390400
6/28/2010,0.92,0.93375,0.89125,0.911042,0.908765,41040000
6/29/2010,0.868229,0.869792,0.785417,0.809375,0.807352,109555200
6/30/2010,0.797292,0.820104,0.763021,0.769375,0.767452,45916800
7/1/2010,0.773646,0.780104,0.717292,0.761875,0.759971,63081600
7/2/2010,0.763854,0.772708,0.734375,0.757708,0.755814,36844800
7/6/2010,0.786667,0.801146,0.7425,0.761667,0.759764,39139200
7/7/2010,0.768229,0.835938,0.766354,0.833646,0.831563,40195200
7/8/2010,0.853646,0.856979,0.818333,0.847708,0.84559,51840000
7/9/2010,0.845521,0.875,0.841042,0.871458,0.86928,35664000
7/12/2010,0.868229,0.894479,0.862917,0.881354,0.879151,24729600
7/13/2010,0.901979,0.923125,0.8825,0.911458,0.90918,43536000
7/14/2010,0.919271,0.941563,0.907396,0.926042,0.923728,27379200
7/15/2010,0.922188,0.937396,0.892188,0.929271,0.926949,28550400
7/16/2010,0.921146,0.922292,0.850417,0.854479,0.852344,45340800
7/19/2010,0.859375,0.879167,0.838646,0.87375,0.871566,31056000
7/20/2010,0.830417,0.905,0.82375,0.901354,0.899101,31987200
7/21/2010,0.935417,0.935417,0.863958,0.869792,0.867618,43123200
7/22/2010,0.90375,0.946354,0.90375,0.928438,0.926118,31612800
7/23/2010,0.915417,0.95375,0.910313,0.952604,0.950223,34713600
7/26/2010,0.956771,0.97625,0.943438,0.973542,0.971109,25190400
7/27/2010,0.987917,0.992292,0.961146,0.973333,0.970901,29923200
7/28/2010,0.971354,0.983542,0.940625,0.953438,0.951055,19392000
7/29/2010,0.966667,0.972917,0.90125,0.930729,0.928403,38188800
7/30/2010,0.907083,0.9525,0.890729,0.937083,0.934741,32457600
8/2/2010,0.971771,0.994792,0.961042,0.9875,0.985032,22540800
8/3/2010,0.985625,0.98875,0.961875,0.977292,0.97485,16003200
8/4/2010,0.990104,1.008333,0.977292,1.005521,1.003008,20227200
8/5/2010,0.990417,1.003125,0.978542,0.999583,0.997085,16617600
8/6/2010,0.963646,0.999167,0.949271,0.994896,0.99241,38188800
8/9/2010,1.008542,1.020833,0.995625,1.012292,1.009762,21408000
8/10/2010,0.989583,1.004688,0.96375,0.990833,0.988357,39504000
8/11/2010,0.938229,0.938854,0.894896,0.909271,0.906999,38726400
8/12/2010,0.854792,0.896146,0.849688,0.883646,0.881438,36480000
8/13/2010,0.876354,0.886354,0.866042,0.866042,0.863878,14486400
8/16/2010,0.853125,0.888438,0.842188,0.870938,0.868761,23856000
8/17/2010,0.890417,0.927396,0.885208,0.904063,0.901804,30019200
8/18/2010,0.899479,0.930521,0.889167,0.912188,0.909908,17788800
8/19/2010,0.899271,0.908542,0.855208,0.878646,0.87645,25603200
8/20/2010,0.869792,0.882292,0.854271,0.875625,0.873437,22147200
8/23/2010,0.895208,0.900521,0.850208,0.851458,0.84933,27052800
8/24/2010,0.823646,0.829792,0.792708,0.802604,0.800598,36201600
8/25/2010,0.786979,0.836563,0.783125,0.826667,0.824601,36038400
8/26/2010,0.837292,0.838646,0.794271,0.799688,0.797689,33244800
8/27/2010,0.813646,0.829688,0.764583,0.826146,0.824081,48115200
8/30/2010,0.813438,0.835208,0.799167,0.799375,0.797377,26284800
8/31/2010,0.7875,0.812188,0.776146,0.795417,0.793429,39110400
9/1/2010,0.826042,0.870104,0.824896,0.862083,0.859929,32409600
9/2/2010,0.867396,0.891667,0.860833,0.891667,0.889439,13574400
9/3/2010,0.91875,0.937083,0.909271,0.937083,0.934741,33820800
9/7/2010,0.924479,0.935625,0.912292,0.914271,0.911986,24345600
9/8/2010,0.924479,0.961771,0.924479,0.946563,0.944197,28473600
9/9/2010,0.976042,0.977604,0.954583,0.958542,0.956146,22588800
9/10/2010,0.965521,0.974063,0.949792,0.968854,0.966433,15984000
9/13/2010,0.994167,1.018854,0.993229,1.011563,1.009035,20928000
9/14/2010,1.007292,1.04,1.001458,1.024375,1.021815,21187200
9/15/2010,1.01625,1.046875,1.008021,1.041771,1.039168,16915200
9/16/2010,1.041146,1.058229,1.030104,1.056458,1.053818,23443200
9/17/2010,1.078021,1.078021,1.051563,1.067708,1.06504,28704000
9/20/2010,1.079688,1.129063,1.075938,1.123333,1.120526,26390400
9/21/2010,1.124271,1.145833,1.107917,1.119792,1.116994,43468800
9/22/2010,1.107292,1.136354,1.095833,1.114479,1.111694,24144000
9/23/2010,1.091667,1.144792,1.088333,1.111146,1.108369,34272000
9/24/2010,1.150833,1.18125,1.145313,1.174063,1.171129,31632000
9/27/2010,1.179479,1.185625,1.157396,1.160625,1.157725,24278400
9/28/2010,1.171563,1.171563,1.105,1.163542,1.160634,36556800
9/29/2010,1.154375,1.170104,1.141146,1.154167,1.151283,15964800
9/30/2010,1.171667,1.192292,1.115938,1.138542,1.135697,44371200
10/1/2010,1.165208,1.169896,1.118229,1.135,1.132164,29260800
10/4/2010,1.123646,1.135208,1.077917,1.095625,1.092887,30960000
10/5/2010,1.134479,1.182813,1.132604,1.177188,1.174246,27446400
10/6/2010,1.172292,1.179688,1.124063,1.147188,1.144321,22128000
10/7/2010,1.166667,1.1675,1.130625,1.158438,1.155543,19737600
10/8/2010,1.160521,1.190208,1.136875,1.181771,1.178818,17136000
10/11/2010,1.185104,1.200625,1.173438,1.184167,1.181208,9532800
10/12/2010,1.176354,1.215104,1.148646,1.20875,1.205729,24432000
10/13/2010,1.231042,1.253229,1.220625,1.238125,1.235031,24211200
10/14/2010,1.239583,1.246771,1.212396,1.23125,1.228173,19939200
10/15/2010,1.275313,1.309792,1.246875,1.309792,1.306519,29894400
10/18/2010,1.311875,1.323229,1.295729,1.309792,1.306519,21744000
10/19/2010,1.257917,1.287917,1.227396,1.257708,1.254565,31824000
10/20/2010,1.27,1.312188,1.262083,1.283854,1.280646,23366400
10/21/2010,1.309792,1.323958,1.255313,1.292813,1.289582,27427200
10/22/2010,1.294375,1.320938,1.287604,1.318021,1.314727,14678400
10/25/2010,1.333854,1.360729,1.333854,1.338021,1.334677,19296000
10/26/2010,1.316979,1.355417,1.301563,1.346042,1.342678,18710400
10/27/2010,1.328854,1.363333,1.321563,1.359896,1.356497,28214400
10/28/2010,1.37875,1.379479,1.335313,1.367708,1.36429,26947200
10/29/2010,1.367396,1.383229,1.359375,1.361146,1.357744,20188800
11/1/2010,1.375,1.402813,1.344792,1.364271,1.360862,21302400
11/2/2010,1.397083,1.416979,1.390625,1.405625,1.402112,17030400
11/3/2010,1.412708,1.426354,1.374063,1.425938,1.422374,28790400
11/4/2010,1.475625,1.493958,1.465313,1.476458,1.472768,27964800
11/5/2010,1.48,1.487083,1.465625,1.478229,1.474535,28492800
11/8/2010,1.470729,1.489583,1.460104,1.481979,1.478275,25862400
11/9/2010,1.503021,1.508229,1.439896,1.458021,1.454377,30470400
11/10/2010,1.465729,1.485521,1.431354,1.480313,1.476613,22992000
11/11/2010,1.411458,1.460521,1.394375,1.455417,1.45178,30460800
11/12/2010,1.431354,1.448333,1.349688,1.381354,1.377902,54566400
11/15/2010,1.405,1.410833,1.364896,1.366563,1.363148,29798400
11/16/2010,1.337292,1.360729,1.283021,1.29875,1.295504,45408000
11/17/2010,1.301042,1.330521,1.291667,1.311042,1.307765,27792000
11/18/2010,1.353229,1.399167,1.352188,1.371979,1.36855,34684800
11/19/2010,1.3675,1.385417,1.351875,1.375208,1.371771,23356800
11/22/2010,1.358854,1.411458,1.353229,1.411458,1.407931,36864000
11/23/2010,1.369688,1.373646,1.320833,1.344792,1.341431,46464000
11/24/2010,1.383021,1.434271,1.381354,1.423333,1.419776,32371200
11/26/2010,1.398542,1.425208,1.390313,1.414375,1.41084,14918400
11/29/2010,1.390625,1.40625,1.342917,1.394688,1.391203,44131200
11/30/2010,1.350417,1.367917,1.326563,1.341667,1.338314,50179200
12/1/2010,1.403229,1.448333,1.401042,1.426979,1.423413,51715200
12/2/2010,1.433333,1.476563,1.429688,1.470313,1.466638,33033600
12/3/2010,1.452604,1.487396,1.452083,1.482604,1.478899,43862400
12/6/2010,1.482917,1.488646,1.468021,1.48,1.476301,24768000
12/7/2010,1.534688,1.534792,1.47875,1.481354,1.477652,41107200
12/8/2010,1.496042,1.505625,1.466979,1.501875,1.498122,23356800
12/9/2010,1.526979,1.527292,1.489583,1.503438,1.499681,24969600
12/10/2010,1.51375,1.537813,1.501354,1.535,1.531164,22051200
12/13/2010,1.554271,1.554271,1.515625,1.516979,1.513188,20188800
12/14/2010,1.528958,1.544063,1.512188,1.523333,1.519526,19219200
12/15/2010,1.522083,1.550417,1.494792,1.507813,1.504045,23894400
